Volume,Age 0 to 85+,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+
11,540,0,0,0,0,7,0,6,15,19,39,52,58,43,73,77,68,43,43
1,47,0,0,0,0,1,3,1,3,4,5,5,7,4,3,2,4,4,1
2,14,0,0,0,0,0,0,0,0,1,1,0,0,2,2,3,5,0,0
3,88,0,0,0,0,1,0,1,4,2,7,3,11,12,9,7,10,5,13
4,132,0,0,0,1,0,0,2,2,7,11,15,11,13,25,20,3,11,9
5,75,0,0,0,0,0,0,2,6,2,3,0,7,9,10,8,6,7,2
6,65,0,0,1,0,0,1,1,3,2,7,3,2,6,15,8,7,3,5
7,90,0,0,0,0,0,1,0,0,5,3,11,13,11,7,15,11,6,5
8,100,0,0,0,2,0,0,1,3,4,8,10,12,12,8,14,14,4,7
9,311,1,0,0,0,0,2,9,12,18,24,27,28,37,38,39,29,24,9
10,796,0,0,0,3,10,8,10,19,40,47,62,87,92,79,104,86,76,39
,2258,1,0,1,6,19,15,33,67,104,155,188,236,241,269,297,243,183,133
